Entidad,IDH,Población
Bogotá,0.89,7937898
Valle del Cauca,0.841,4652512
San Andrés y Providencia,0.837,62181
Quindío,0.832,568560
Caldas,0.828,1051282
Cundinamarca,0.826,3657407
Meta,0.824,1160351
Santander,0.821,2393214
Atlántico,0.817,2845169
Antioquia,0.813,6951825
Risaralda,0.812,974639
Boyacá,0.808,1324122
Bolívar,0.803,2278770
Tolima,0.797,1386826
Guaviare,0.796,103237
Casanare,0.791,481938
Vichada,0.785,127467
Sucre,0.784,1016826
Norte de Santander,0.778,1717992
Arauca,0.771,320723
Cesar,0.77,1414859
Huila,0.767,1205318
Magdalena,0.767,1529038
Nariño,0.763,1719281
Cauca,0.76,1590171
Amazonas,0.758,87480
Putumayo,0.758,393988
Caquetá,0.753,430884
Córdoba,0.751,1929336
La Guajira,0.732,1073081
Chocó,0.721,615082
Guainía,0.702,59240
Vaupés,0.681,49142
